datetime,snow depth (cm),temperature (K),sw (mm)
2014-10-05 23:00:00,0.1,277.55,1.0
2014-10-06 00:00:00,0.1,277.75,1.0
2014-10-06 01:00:00,0.1,277.85,1.0
2014-10-06 02:00:00,0.1,277.65,1.0
2014-10-06 03:00:00,0.1,276.85,1.0
2014-10-06 04:00:00,0.1,275.85,1.0
2014-10-06 05:00:00,0.1,276.05,1.0
2014-10-06 06:00:00,0.1,276.85,1.0
2014-10-06 07:00:00,0.1,276.85,1.0
2014-10-06 08:00:00,0.1,276.25,1.0
2014-10-06 09:00:00,0.1,276.35,1.0
2014-10-06 10:00:00,0.1,277.35,1.0
2014-10-06 11:00:00,0.1,277.45,1.0
2014-10-06 12:00:00,0.1,276.95,1.0
2014-10-06 13:00:00,0.1,276.05,1.0
2014-10-06 14:00:00,0.1,275.45,1.0
2014-10-06 15:00:00,0.1,275.95,1.0
2014-10-06 16:00:00,0.1,277.25,1.0
2014-10-06 17:00:00,0.1,278.25,0.0
2014-10-06 18:00:00,0.1,280.45,0.0
2014-10-06 19:00:00,0.1,280.75,0.0
2014-10-06 20:00:00,0.1,281.65,0.0
2014-10-06 21:00:00,0.1,282.95,0.0
2014-10-06 22:00:00,0.1,282.65,0.0
2014-10-06 23:00:00,0.1,281.95,0.0
2014-10-07 00:00:00,0.1,281.55,0.0
2014-10-07 01:00:00,0.1,280.05,0.0
2014-10-07 02:00:00,0.1,278.55,0.0
2014-10-07 03:00:00,0.1,278.15,0.0
2014-10-07 04:00:00,0.1,278.65,0.0
2014-10-07 05:00:00,0.1,278.45,0.0
2014-10-07 06:00:00,0.1,275.65,0.0
2014-10-07 07:00:00,0.1,274.55,0.0
2014-10-07 08:00:00,0.1,274.65,0.0
2014-10-07 09:00:00,0.1,273.75,0.0
2014-10-07 10:00:00,0.1,273.15,0.0
2014-10-07 11:00:00,0.1,272.05,0.0
2014-10-07 12:00:00,0.1,271.45,0.0
2014-10-07 13:00:00,0.1,270.85,0.0
2014-10-07 14:00:00,0.1,270.75,0.0
2014-10-07 15:00:00,0.1,270.55,0.0
2014-10-07 16:00:00,0.1,272.15,0.0
2014-10-07 17:00:00,0.1,273.85,0.0
2014-10-07 18:00:00,0.1,276.55,0.0
2014-10-07 19:00:00,0.1,279.85,0.0
2014-10-07 20:00:00,0.1,281.15,0.0
2014-10-07 21:00:00,0.1,280.45,0.0
2014-10-07 22:00:00,0.1,279.25,0.0
2014-10-07 23:00:00,0.1,279.65,0.0
2014-10-08 00:00:00,0.1,279.15,0.0
2014-10-08 01:00:00,0.1,277.35,0.0
2014-10-08 02:00:00,0.1,275.35,0.0
2014-10-08 03:00:00,0.1,273.15,0.0
2014-10-08 04:00:00,0.1,273.45,0.0
2014-10-08 05:00:00,0.1,273.55,0.0
2014-10-08 06:00:00,0.1,273.05,0.0
2014-10-08 07:00:00,0.1,271.55,0.0
2014-10-08 08:00:00,0.1,271.45,0.0
2014-10-08 09:00:00,0.1,271.55,0.0
